,education,"Lo intenté, pero no lo completé","Nunca lo hice, ni escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero sé cómo hacerlo","Sí, lo estoy haciendo","Sí, lo he hecho"
0,Doctorado,1.0,7.0,3.0,8.0,3.0,14.0
1,Especialización,0.0,2.0,3.0,1.0,1.0,2.0
2,Especialización;Maestría,0.0,0.0,1.0,0.0,0.0,0.0
3,Estudiante de Doctorado,0.0,0.0,1.0,0.0,0.0,0.0
4,Estudiante de licenciatura,0.0,2.0,5.0,1.0,2.0,0.0
5,Licenciado,1.0,7.0,4.0,2.0,1.0,5.0
6,Licenciado;Doctorado en curso,0.0,1.0,0.0,0.0,0.0,0.0
7,Licenciado;En proceso de tesis de maestría,0.0,0.0,0.0,0.0,0.0,1.0
8,Licenciado;Especialización;Maestría,1.0,0.0,1.0,1.0,0.0,0.0
9,Licenciado;estudiante de doctorado,0.0,1.0,0.0,0.0,0.0,0.0
10,Maestría,1.0,1.0,6.0,1.0,1.0,1.0
11,Postdoctorado,0.0,0.0,1.0,0.0,0.0,0.0
