Measures,Nada de acuerdo,Algo de acuerdo,No sé,Bastante de acuerdo,Muy de acuerdo
Gran parte de los investigadores solamente publica los estudios en donde obtienen diferencias estadísticamente significativas,4,28,6,33,24
A las revistas científicas no les interesa publicar resultados que no son estadísticamente significativos,9,18,3,38,27
Cuando leo un artículo tengo mayor confianza en la calidad del estudio si los resultados son estadísticamente significativos,40,19,7,19,10
Que un resultado no fuera estadísticamente significativo sería un criterio para no seguir investigando esas variables,65,21,6,1,2
"Una conclusión científica (por ejemplo, si un tratamiento es mejor que otro) debe estar basado en si el p-valor es o no es estadísticamente significativo",28,31,6,21,9
Un resultado estadísticamente significativo es un resultado importante,15,35,6,31,8
El valor de p < .05 confirma que el hallazgo será útil para la comunidad científica,30,37,13,11,4
El valor de p = .001 confirma que el tamaño del efecto ha sido grande,31,21,23,12,8
Cuando los resultados de diferentes investigadores son contradictorios entonces sería necesario llevar a cabo un estudio de replicación sobre la misma temática,5,22,2,30,36
La realización de estudios de replicación es necesaria para el avance de la ciencia,5,23,1,17,49
Si los resultados sobre una determinada temática son unánimes por parte de diferentes equipos de investigación entonces los estudios de replicación no son necesarios,41,37,5,10,2
Los estudios de replicación solamente tienen sentido cuando no se detectan diferencias estadísticamente significativas en el estudio original,59,16,18,2,0
No es necesario replicar un estudio cuando ya se detectaron efectos estadísticamente significativos en el estudio original,66,10,17,2,0
El principal objetivo de las revistas científicas es publicar hallazgos novedosos,22,27,2,27,17
La ciencia avanza más con estudios que plantean hipótesis novedosas que con estudios de replicación de otras investigaciones,43,30,4,11,7
"Creo que, en general, los errores que se pueden haber cometido en un estudio científico siempre se detectan y corrigen antes de ser publicados",48,30,7,9,1
Las tareas de revisión y corrección de los manuscritos que llevan a cabo los revisores de las revistas garantizan de forma fiable la calidad de los resultados científicos,26,42,5,18,4
